t,y
19.84,30.93
19.87,30.5
19.91,30.5
19.94,31.03
19.97,30.5
20,29.7
20.04,29.5
20.07,30.45
20.1,29.96
20.14,30
20.17,29.4
20.21,29.58
20.24,30
20.27,29.5
20.31,30.02
20.34,30.07
20.37,30.18
20.41,30.37
20.44,30.37
20.47,29.5
20.51,30
20.54,29.82
20.57,29.5
20.61,29.5
20.64,29.58
20.67,30
20.71,30.06
20.74,29.88
20.77,29.73
20.8,29.35
20.84,29.05
20.87,29.33
20.91,29.31
20.93,29.42
20.97,29.5
21.01,29.65
21.03,29.18
21.07,29.53
21.11,29
21.14,29.39
21.17,28.75
21.2,28
21.24,28
21.27,27.86
21.3,28
21.34,27.73
21.37,27.42
21.41,27.75
21.44,27.93
21.47,27.35
21.5,27.5
21.54,28
21.57,27.56
21.6,27.57
21.64,27.55
21.67,27.55
21.7,27.48
21.74,27.5
21.77,26.85
21.8,26.93
21.84,26.91
21.87,26.87
21.9,26.96
21.94,27.04
21.97,26.63
22.01,26.07
22.04,24.5
22.07,24.76
22.1,25
22.14,25.96
22.17,25.56
22.2,26
22.24,26.2
22.27,25.68
22.31,26
22.34,25.87
22.37,26.73
22.4,27
22.44,26.87
22.47,27.5
22.51,27.75
22.54,27.36
22.57,27.94
22.61,27.93
22.64,28
22.67,27
22.7,27.09
22.74,26.5
22.77,26.87
22.81,26.93
22.83,26.83
22.87,26.63
22.91,26.5
22.93,26.5
22.97,26.5
23,26.43
23.04,25.74
23.07,26
23.1,26.5
23.14,26.59
23.17,26.5
23.2,26.69
23.24,26.57
23.27,26
23.3,26.37
23.34,26.5
23.37,26.66
23.4,26.63
23.44,26.41
23.47,26.5
23.5,26.5
23.54,26.5
23.57,25.79
23.6,26.27
23.64,26
23.67,26
23.71,25.83
23.74,26.07
23.77,25.95
23.8,25.96
23.84,25.5
23.87,26.05
23.9,26
23.93,25.58
23.97,25.41
24.01,25.37
24.04,24.8
24.07,23
24.11,11.5
24.14,-1
24.17,-1
24.2,13.53
24.24,22
24.27,24.5
24.31,25.76
24.33,26.5
24.37,26
24.41,26.16
24.44,27
24.47,26.89
24.51,27.93
24.54,28.08
24.57,28.5
24.6,27.84
24.64,27.73
24.67,27.78
24.71,27.06
24.73,26.43
24.77,26.5
24.81,26.41
24.84,26.02
24.87,25.5
24.9,25.42
24.94,25.5
24.97,25.29
25,25
25.04,24.75
25.07,25
25.1,24.3
25.14,25
25.17,25
25.2,25.21
25.24,24.5
25.27,24.59
25.31,25
25.34,25.07
25.37,24.5
25.4,24.95
25.44,25.52
25.47,25
25.5,25.07
25.54,25
25.57,24.68
25.6,24.5
25.64,25
25.67,25.06
25.7,25
25.74,24.71
25.77,25
25.8,24.59
25.84,25.05
25.87,24.79
25.91,24.58
25.94,24.17
25.97,24.17
26,24.4
26.03,25.5
26.07,24.94
26.11,24.9
26.14,24.5
26.17,25.05
26.2,25
26.24,24.83
26.27,25.6
26.31,25.92
26.34,26.5
26.37,26.6
26.4,27.5
26.44,27.91
26.47,28.5
26.51,28.5
26.54,28.61
26.57,29.8
26.61,31
26.64,30.94
26.67,31.74
26.7,31.5
26.74,32
26.77,32.57
26.8,32.88
26.84,33.06
26.87,32.39
26.9,33
26.94,33.57
26.97,34.21
27,34
27.04,33.88
27.07,34.17
27.1,34.5
27.14,35.5
27.17,36
27.2,35.5
27.24,36.43
27.27,36.58
27.31,37
27.34,37
27.37,37.26
27.41,37.17
27.44,37.5
27.47,38.5
27.51,38.5
27.53,38.5
27.57,38.95
27.61,38.57
27.64,39.86
27.67,39.5
27.7,40.45
27.74,40
27.77,40.47
27.81,40.5
27.84,40.77
27.87,40.5
27.9,41.14
27.94,41.26
27.97,41.5
28,41.27
28.04,40.5
28.07,40.5
28.11,41.35
28.14,41
28.17,41.5
28.2,42
28.24,41.5
28.27,41.5
28.31,40.98
28.34,42.04
28.37,42.02
28.41,41.5
28.44,42.26
28.47,42.69
28.5,42.5
28.54,42.38
28.57,42
28.61,41.87
28.64,41.99
28.67,42.5
28.71,43.03
28.73,41.5
28.77,41.5
28.81,42
28.84,42.75
28.87,41.93
28.9,41.81
28.94,42.87
28.97,41.94
29,41.3
29.04,41.5
29.07,38.5
29.11,36
29.14,40
29.17,42.02
29.21,42.02
29.24,42.92
29.27,42.94
29.31,42.52
29.34,42.79
29.37,42.5
29.41,41.51
29.44,20.5
29.47,-1
29.51,-1
29.54,1
29.57,34.54
29.6,41.5
29.63,43.5
29.67,44.05
29.71,43.63
29.74,44.5
29.77,44
29.81,43.76
29.84,44
29.87,44.5
29.9,44.39
29.94,44.5
29.97,44
30.01,44.02
30.04,45
30.07,44.5
30.11,44.5
30.14,44.96
30.17,45
30.2,45
30.24,44
30.27,45.2
30.31,44
30.34,44.32
30.37,44
30.41,43
30.44,22
30.47,-1
30.51,-1
30.54,-1
30.57,-1
30.61,-1
30.64,16.94
30.67,22.43
30.71,25
30.74,28
30.77,31.46
30.8,39
30.84,42.5
30.87,42.5
30.91,43
30.94,43.01
30.97,43.79
31,43.5
31.04,43.89
31.07,44.91
31.1,44.69
31.14,44.57
31.17,44.57
31.2,44.69
31.24,44.91
31.27,45.35
31.3,45.85
31.33,45.56
31.37,46
31.41,45.54
31.44,46
31.47,45.5
31.51,45.89
31.54,45.74
31.57,45.31
31.61,45.5
31.64,45.34
31.67,44.87
31.71,44.11
31.74,44.43
31.77,44.43
31.81,43.5
31.84,44.21
31.87,43.66
